,Name,Span,Matches,innings,Not_outs,Runs,Highest_score,Average,bowls_faced,Strike_rate,Hunderds,fifties,Ducks,fours,sixes,Team
0,JE Root,2019-2022,34.0,64.0,4.0,3140.0,228.0,52.33,5598.0,56.09,10.0,12.0,6.0,334.0,6.0,England
1,M Labuschagne,2019-2022,21.0,37.0,1.0,2180.0,215.0,60.55,3972.0,54.88,6.0,12.0,2.0,243.0,6.0,Australia
2,BA Stokes,2019-2022,27.0,52.0,4.0,1940.0,176.0,40.41,3380.0,57.39,5.0,10.0,1.0,213.0,51.0,England
3,SPD Smith,2019-2022,21.0,34.0,1.0,1811.0,211.0,54.87,3633.0,49.84,4.0,12.0,2.0,200.0,9.0,Australia
4,Babar Azam,2019-2022,17.0,29.0,4.0,1614.0,196.0,64.56,2910.0,55.46,5.0,10.0,0.0,191.0,7.0,Pakisthan
5,FDM Karunaratne,2019-2022,16.0,30.0,1.0,1591.0,244.0,54.86,3000.0,53.03,6.0,7.0,0.0,185.0,2.0,Sri Lanka
6,RG Sharma,2019-2022,18.0,30.0,2.0,1552.0,212.0,55.42,2744.0,56.55,5.0,4.0,0.0,184.0,32.0,India
7,D Elgar,2019-2022,20.0,38.0,3.0,1452.0,160.0,41.48,2763.0,52.55,2.0,9.0,4.0,201.0,5.0,South Africa
8,AM Rahane,2019-2022,26.0,45.0,3.0,1443.0,115.0,34.35,3085.0,46.77,3.0,8.0,4.0,171.0,8.0,India
9,V Kohli,2019-2022,24.0,40.0,2.0,1430.0,254.0,37.63,2891.0,49.46,2.0,8.0,6.0,173.0,5.0,India
10,DA Warner,2019-2022,20.0,35.0,2.0,1390.0,335.0,42.12,2339.0,59.42,3.0,5.0,5.0,150.0,6.0,Australia
11,KC Brathwaite,2019-2022,21.0,41.0,3.0,1317.0,160.0,34.65,3487.0,37.76,2.0,8.0,3.0,137.0,1.0,West Indies
12,MA Agarwal,2019-2022,19.0,33.0,0.0,1293.0,243.0,39.18,2407.0,53.71,4.0,4.0,1.0,170.0,23.0,India
13,CA Pujara,2019-2022,27.0,48.0,1.0,1287.0,91.0,27.38,3487.0,36.9,0.0,12.0,5.0,168.0,4.0,India
14,RR Pant,2019-2022,21.0,36.0,3.0,1224.0,101.0,37.09,1782.0,68.68,2.0,7.0,1.0,135.0,27.0,India
15,Liton Das,2019-2022,16.0,27.0,1.0,1211.0,141.0,46.57,2145.0,56.45,3.0,7.0,0.0,146.0,5.0,Bangladesh
16,TWM Latham,2019-2022,20.0,34.0,1.0,1210.0,252.0,36.66,2657.0,45.54,2.0,7.0,2.0,137.0,4.0,New Zealand
17,Azhar Ali,2019-2022,19.0,33.0,3.0,1190.0,185.0,39.66,2763.0,43.06,3.0,4.0,5.0,133.0,5.0,Pakisthan
18,JM Bairstow,2019-2022,21.0,41.0,3.0,1156.0,140.0,30.42,2091.0,55.28,3.0,2.0,5.0,131.0,16.0,England
19,JC Buttler,2019-2022,25.0,44.0,3.0,1142.0,152.0,27.85,2401.0,47.56,1.0,4.0,4.0,131.0,14.0,England
20,Z Crawley,2020-2022,20.0,37.0,0.0,1121.0,267.0,30.29,2043.0,54.87,2.0,5.0,4.0,155.0,1.0,England
21,J Blackwood,2019-2022,20.0,36.0,0.0,1113.0,104.0,30.91,2170.0,51.29,2.0,5.0,1.0,133.0,7.0,West Indies
22,RJ Burns,2019-2022,21.0,38.0,0.0,1055.0,133.0,27.76,2415.0,43.68,1.0,7.0,8.0,128.0,1.0,England
23,Mohammad Rizwan,2019-2022,19.0,29.0,6.0,1033.0,115.0,44.91,2023.0,51.06,2.0,7.0,2.0,119.0,4.0,Pakisthan
24,DM de Silva,2019-2022,15.0,25.0,4.0,1014.0,166.0,48.28,1791.0,56.61,4.0,4.0,1.0,119.0,8.0,Sri Lanka
25,Mushfiqur Rahim,2019-2022,13.0,24.0,3.0,992.0,175.0,47.23,2194.0,45.21,2.0,6.0,2.0,113.0,1.0,Bangladesh
26,KS Williamson,2019-2022,12.0,20.0,1.0,977.0,251.0,51.42,1930.0,50.62,3.0,2.0,2.0,121.0,3.0,New Zealand
27,OJ Pope,2020-2022,19.0,34.0,3.0,964.0,145.0,31.09,1843.0,52.3,2.0,5.0,0.0,103.0,5.0,England
28,AD Mathews,2019-2022,14.0,25.0,3.0,945.0,199.0,42.95,2105.0,44.89,3.0,3.0,1.0,82.0,14.0,Sri Lanka
29,TM Head,2019-2022,18.0,27.0,2.0,915.0,152.0,36.6,1570.0,58.28,3.0,3.0,1.0,113.0,5.0,Australia
30,N Dickwella,2019-2022,16.0,27.0,3.0,912.0,96.0,38.0,1550.0,58.83,0.0,8.0,1.0,99.0,1.0,Sri Lanka
31,RA Jadeja,2019-2022,18.0,27.0,6.0,911.0,175.0,43.38,1689.0,53.93,1.0,7.0,1.0,90.0,15.0,India
32,Abid Ali,2019-2021,14.0,24.0,1.0,905.0,174.0,39.34,1898.0,47.68,3.0,2.0,2.0,109.0,5.0,Pakisthan
33,HM Nicholls,2019-2022,18.0,28.0,1.0,905.0,174.0,33.51,1807.0,50.08,3.0,2.0,3.0,104.0,3.0,New Zealand
34,Q de Kock,2019-2021,14.0,25.0,1.0,902.0,141.0,37.58,1372.0,65.74,2.0,5.0,3.0,112.0,14.0,South Africa
35,DP Sibley,2019-2021,18.0,32.0,2.0,901.0,133.0,30.03,2588.0,34.81,2.0,4.0,5.0,100.0,1.0,England
36,T Bavuma,2019-2022,15.0,28.0,4.0,896.0,93.0,37.33,1880.0,47.65,0.0,6.0,2.0,109.0,2.0,South Africa
37,TA Blundell,2019-2022,16.0,27.0,2.0,879.0,121.0,35.16,1884.0,46.65,2.0,5.0,2.0,114.0,1.0,New Zealand
38,UT Khawaja,2019-2022,8.0,15.0,3.0,873.0,160.0,72.75,1645.0,53.06,4.0,2.0,0.0,93.0,4.0,Australia
39,HE van der Dussen,2019-2022,15.0,27.0,2.0,824.0,98.0,32.96,2006.0,41.07,0.0,6.0,2.0,90.0,4.0,South Africa
40,JO Holder,2019-2022,18.0,35.0,5.0,777.0,71.0,25.9,1525.0,50.95,0.0,3.0,4.0,102.0,10.0,West Indies
41,NE Bonner,2021-2022,13.0,22.0,4.0,766.0,123.0,42.55,2229.0,34.36,2.0,3.0,2.0,83.0,3.0,West Indies
42,HDRL Thirimanne,2019-2022,11.0,21.0,0.0,760.0,140.0,36.19,1835.0,41.41,2.0,5.0,3.0,77.0,0.0,Sri Lanka
43,MS Wade,2019-2021,14.0,25.0,2.0,727.0,117.0,31.6,1354.0,53.69,2.0,1.0,2.0,89.0,4.0,Australia
44,Mominul Haque,2019-2022,16.0,30.0,2.0,710.0,127.0,25.35,1680.0,42.26,2.0,1.0,7.0,81.0,0.0,Bangladesh
45,DJ Mitchell,2020-2022,9.0,13.0,2.0,697.0,190.0,63.36,1270.0,54.88,3.0,3.0,0.0,75.0,11.0,New Zealand
46,KR Mayers,2021-2022,12.0,21.0,2.0,664.0,210.0,34.94,1065.0,62.34,1.0,2.0,4.0,83.0,11.0,West Indies
47,CR Woakes,2019-2022,17.0,28.0,4.0,650.0,84.0,27.08,1162.0,55.93,0.0,2.0,2.0,82.0,4.0,England
48,LD Chandimal,2019-2022,11.0,20.0,3.0,647.0,124.0,38.05,1425.0,45.4,1.0,4.0,0.0,65.0,6.0,Sri Lanka
49,LRPL Taylor,2019-2022,16.0,26.0,3.0,646.0,86.0,28.08,1250.0,51.68,0.0,3.0,0.0,75.0,2.0,New Zealand
50,Tamim Iqbal,2020-2022,9.0,16.0,1.0,642.0,133.0,42.8,908.0,70.7,1.0,4.0,3.0,92.0,5.0,Bangladesh
51,KL Rahul,2019-2022,9.0,18.0,0.0,642.0,129.0,35.66,1551.0,41.39,2.0,2.0,1.0,85.0,3.0,India
52,GH Vihari,2019-2022,11.0,19.0,3.0,641.0,111.0,40.06,1433.0,44.73,1.0,4.0,0.0,86.0,1.0,India
53,J Da Silva,2020-2022,15.0,25.0,5.0,640.0,100.0,32.0,1760.0,36.36,1.0,3.0,3.0,65.0,1.0,West Indies
54,C Green,2020-2022,12.0,18.0,1.0,619.0,84.0,36.41,1329.0,46.57,0.0,4.0,2.0,59.0,6.0,Australia
55,AK Markram,2019-2022,14.0,26.0,1.0,615.0,108.0,24.6,1290.0,47.67,1.0,3.0,3.0,95.0,4.0,South Africa
56,BOP Fernando,2019-2022,11.0,20.0,2.0,612.0,102.0,34.0,1261.0,48.53,1.0,4.0,1.0,73.0,4.0,Sri Lanka
57,Fawad Alam,2020-2022,13.0,20.0,4.0,591.0,124.0,36.93,1435.0,41.18,3.0,2.0,3.0,67.0,2.0,Pakisthan
58,Najmul Hossain Shanto,2020-2022,14.0,26.0,0.0,590.0,163.0,22.69,1304.0,45.24,1.0,1.0,5.0,68.0,7.0,Bangladesh
59,Shan Masood,2019-2021,10.0,17.0,0.0,585.0,156.0,34.41,1234.0,47.4,3.0,1.0,5.0,55.0,6.0,Pakisthan
60,DP Conway,2021-2022,7.0,12.0,0.0,575.0,122.0,47.91,1161.0,49.52,2.0,3.0,0.0,74.0,2.0,New Zealand
61,R Ashwin,2019-2022,21.0,30.0,2.0,570.0,106.0,20.35,1056.0,53.97,1.0,1.0,3.0,73.0,2.0,India
62,JL Denly,2019-2020,10.0,19.0,0.0,569.0,94.0,29.94,1462.0,38.91,0.0,4.0,0.0,79.0,3.0,England
63,Shubman Gill,2020-2021,10.0,19.0,2.0,558.0,91.0,32.82,983.0,56.76,0.0,4.0,2.0,70.0,8.0,India
64,F du Plessis,2019-2021,11.0,20.0,0.0,555.0,199.0,27.75,1152.0,48.17,1.0,2.0,0.0,78.0,4.0,South Africa
65,TD Paine,2019-2021,14.0,22.0,3.0,550.0,79.0,28.94,1077.0,51.06,0.0,4.0,2.0,65.0,1.0,Australia
66,Abdullah Shafique,2021-2022,5.0,9.0,1.0,547.0,136.0,68.37,1341.0,40.79,1.0,4.0,0.0,51.0,8.0,Pakisthan
67,C de Grandhomme,2019-2022,10.0,15.0,2.0,538.0,120.0,41.38,733.0,73.39,1.0,2.0,1.0,53.0,11.0,New Zealand
68,JD Campbell,2019-2022,15.0,29.0,2.0,526.0,68.0,19.48,1149.0,45.77,0.0,1.0,1.0,61.0,3.0,West Indies
69,KA Maharaj,2019-2022,17.0,28.0,0.0,507.0,84.0,18.1,934.0,54.28,0.0,4.0,5.0,65.0,8.0,South Africa
70,Faheem Ashraf,2020-2022,9.0,14.0,1.0,498.0,91.0,38.3,939.0,53.03,0.0,3.0,1.0,74.0,2.0,Pakisthan
