,Name,Span,Matches,innings,Overs,Maidens,Runs_concede,Wickets,Best_Bowling_innings,Best_Bowling_match,Average,Economy,Strike_rate,fifer_5,ten_wickets,country
0,PJ Cummins ,2019-2022,22,43,804.2,220,2146,104,5/28,8/79,20.63,2.66,46.4,3,0,AUS
1,R Ashwin ,2019-2022,21,40,786.1,165,1966,100,7/145,9/207,19.66,2.5,47.1,4,0,INDIA
2,SCJ Broad ,2019-2022,24,46,775.1,189,2239,95,6/31,10/67,23.56,2.88,48.9,3,1,ENG
3,TG Southee ,2019-2022,20,40,798.4,189,2365,89,5/32,9/110,26.57,2.96,53.8,5,0,NZ
4,NM Lyon ,2019-2022,23,41,1038.0,233,2763,89,6/49,10/118,31.04,2.66,69.9,6,1,AUS
5,JJ Bumrah ,2019-2022,19,36,606.0,155,1600,74,6/27,9/110,21.62,2.64,49.1,5,0,INDIA
6,JM Anderson ,2019-2022,21,37,672.0,219,1523,73,6/40,7/63,20.86,2.26,55.2,4,0,ENG
7,Shaheen Shah Afridi ,2019-2022,19,31,625.1,137,1842,73,6/51,10/94,25.23,2.94,51.3,3,1,PAK
8,MA Starc ,2019-2022,19,37,604.2,132,1866,72,6/66,9/97,25.91,3.08,50.3,2,0,AUS
9,Mohammed Shami ,2019-2022,19,35,507.1,116,1535,70,5/35,8/107,21.92,3.02,43.4,2,0,INDIA
10,MJ Leach ,2019-2022,19,31,766.4,174,2234,70,5/66,10/166,31.91,2.91,65.7,3,1,ENG
11,KA Jamieson ,2020-2022,15,29,486.0,154,1288,69,6/48,11/117,18.66,2.65,42.2,5,1,NZ
12,KAJ Roach ,2019-2022,19,36,628.3,153,1725,68,5/53,7/74,25.36,2.74,55.4,1,0,WI
13,K Rabada ,2019-2022,15,26,513.0,107,1613,67,5/34,8/106,24.07,3.14,45.9,2,0,SA
14,TA Boult ,2019-2022,15,30,561.3,125,1719,64,5/43,8/200,26.85,3.06,52.6,2,0,NZ
15,KA Maharaj ,2019-2022,17,29,630.3,132,1927,56,7/32,9/97,34.41,3.05,67.5,4,0,SA
16,N Wagner ,2019-2022,13,26,474.5,107,1330,52,4/66,7/133,25.57,2.8,54.7,0,0,NZ
17,L Embuldeniya ,2019-2022,13,21,631.3,109,2002,52,7/137,10/210,38.5,3.17,72.8,3,1,SL
18,JR Hazlewood ,2019-2022,13,25,443.2,124,1121,51,5/8,9/115,21.98,2.52,52.1,3,0,AUS
19,RA Jadeja ,2019-2022,18,34,524.3,128,1367,50,5/41,9/87,27.34,2.6,62.9,1,0,INDIA
20,CR Woakes ,2019-2022,17,33,488.3,116,1478,48,5/50,7/138,30.79,3.02,61.0,1,0,ENG
21,BA Stokes ,2019-2022,28,39,487.4,92,1592,48,4/49,6/88,33.16,3.26,60.9,0,0,ENG
22,A Nortje ,2019-2021,12,21,363.4,64,1321,47,6/56,8/120,28.1,3.63,46.4,3,0,SA
23,Taijul Islam ,2019-2022,12,19,636.3,133,1785,47,7/116,9/202,37.97,2.8,81.2,3,0,BAN
24,I Sharma ,2019-2021,15,27,327.2,79,923,44,5/22,9/78,20.97,2.81,44.6,3,0,INDIA
25,JO Holder ,2019-2022,18,33,577.2,164,1363,44,6/42,7/91,30.97,2.36,78.7,3,0,WI
26,MA Wood ,2020-2022,11,19,327.5,52,1067,40,6/37,9/100,26.67,3.25,49.1,2,0,ENG
27,JC Archer ,2019-2021,11,21,352.5,71,1095,40,6/45,8/85,27.37,3.1,52.9,3,0,ENG
28,AR Patel ,2021-2022,6,12,217.5,52,485,39,6/38,11/70,12.43,2.22,33.5,5,1,INDIA
29,UT Yadav ,2019-2022,11,22,262.4,42,884,39,5/53,8/82,22.66,3.36,40.4,1,0,INDIA
30,AS Joseph ,2020-2022,13,24,379.0,61,1345,37,3/33,6/88,36.35,3.54,61.4,0,0,WI
31,Mehidy Hasan Miraz ,2019-2022,14,21,559.1,104,1607,37,4/58,8/171,43.43,2.87,90.6,0,0,BAN
32,JNT Seales ,2021-2022,9,17,241.0,50,784,36,5/55,8/125,21.77,3.25,40.1,1,0,WI
33,Mohammed Siraj ,2020-2022,12,23,345.1,73,1067,36,5/73,8/126,29.63,3.09,57.5,1,0,INDIA
34,DM Bess ,2020-2021,12,19,385.2,81,1102,33,5/30,8/130,33.39,2.85,70.0,2,0,ENG
35,L Ngidi ,2019-2022,9,17,221.3,56,678,32,6/71,8/102,21.18,3.06,41.5,2,0,SA
36,OE Robinson ,2021-2022,8,15,272.4,81,729,32,5/65,7/81,22.78,2.67,51.1,2,0,ENG
37,ST Gabriel ,2019-2021,13,24,369.3,64,1278,32,5/75,9/137,39.93,3.45,69.2,1,0,WI
38,Yasir Shah ,2019-2021,11,18,400.4,44,1474,32,4/58,8/165,46.06,3.67,75.1,0,0,PAK
39,Hasan Ali ,2021-2022,8,15,225.1,49,726,29,5/51,10/114,25.03,3.22,46.5,3,1,PAK
40,RTM Mendis ,2021-2022,7,12,281.2,42,812,29,6/70,11/136,28.0,2.88,58.2,2,1,SL
41,Ebadot Hossain ,2019-2022,13,20,390.5,71,1420,29,6/46,7/121,48.96,3.63,80.8,1,0,BAN
42,M Jansen ,2021-2022,5,9,178.2,40,570,28,4/31,7/91,20.35,3.19,38.2,0,0,SA
43,KR Mayers ,2021-2022,13,22,192.0,64,454,26,5/18,7/31,17.46,2.36,44.3,1,0,WI
44,SN Thakur ,2021-2022,6,12,164.5,26,538,26,7/61,8/108,20.69,3.26,38.0,1,0,INDIA
45,AY Patel ,2019-2022,6,11,214.0,40,664,26,10/119,14/225,25.53,3.1,49.3,2,1,NZ
46,Naseem Shah ,2019-2022,11,16,288.4,51,1019,26,5/31,5/81,39.19,3.53,66.6,1,0,PAK
